,"index of flare start in ""gj1243_master_slc.dat""","index of flare stop in ""gj1243_master_slc.dat""",t_start,t_stop,t_peak,t_rise,t_decay,flux peak,ED,Duration of rise,Duration of decay,Complex flag,# of people that identified flare event exists,# of people that analyzed this month,# of flare template components fit to event,Flare_Duration,Index,Flare_Number,Type,Notes,na,key
89,51700.0,51740.0,576.6119385,576.6398315,576.6139526,0.0020142,0.0258789,0.0063632,4.4729691,0.3673037,4.1056652,1.0,7.0,7.0,2.0,40.16592000009041,167,167.0,1.0,,,
90,53287.0,53319.0,577.7003784,577.7228394,577.703064,0.0026855,0.0197754,0.019294,5.4502907,0.9360357,4.5142546,1.0,7.0,7.0,1.0,32.34384000003047,170,170.0,1.0,,,
91,53333.0,53383.0,577.7323608,577.7670898,577.7357788,0.003418,0.031311,0.0205338,10.7333422,1.3212008,9.4121408,1.0,7.0,7.0,2.0,50.00975999995717,171,171.0,1.0,,,
92,55033.0,55058.0,578.923645,578.9414062,578.9257202,0.0020752,0.015686,0.0106719,4.4220514,0.2982277,4.1238236,1.0,7.0,7.0,2.0,25.576127999993332,177,177.0,1.0,,,
93,55102.0,55129.0,578.9713745,578.9904175,578.9740601,0.0026855,0.0163574,0.0130235,2.8287122,0.372935,2.4557772,1.0,7.0,7.0,1.0,27.421920000015234,178,178.0,1.0,,,
94,55211.0,55237.0,579.046936,579.0653687,579.050354,0.003418,0.0150146,0.0143216,5.6327028,1.7787091,3.8539939,1.0,7.0,7.0,1.0,26.543088000089483,179,179.0,1.0,,,
95,55304.0,55325.0,579.1116333,579.1266479,579.1143799,0.0027466,0.0122681,0.0048591,1.9482816,0.3135906,1.634691,1.0,7.0,7.0,1.0,21.621023999960016,180,180.0,1.0,,,
96,56047.0,56070.0,579.6224976,579.6401978,579.6245728,0.0020752,0.015625,0.0207686,5.3871603,1.1764915,4.2106686,1.0,7.0,7.0,1.0,25.488288000051398,181,181.0,1.0,,,
97,58345.0,58368.0,581.2020264,581.2177124,581.2047729,0.0027466,0.0129395,0.0101735,2.7252586,0.5330991,2.1921597,1.0,7.0,7.0,2.0,22.587839999941934,185,185.0,1.0,,,
98,58941.0,58963.0,581.6202393,581.6352539,581.6216431,0.0014038,0.0136108,0.0077448,2.3630095,0.2087909,2.1542184,1.0,7.0,7.0,1.0,21.621023999960016,186,186.0,1.0,,,
99,58975.0,59002.0,581.6434326,581.6618042,581.647522,0.0040894,0.0142822,0.0079789,2.8098068,0.7800349,2.029772,1.0,7.0,7.0,1.0,26.455104000033316,187,187.0,1.0,,,
100,59867.0,59900.0,582.2578125,582.2809448,582.2611694,0.0033569,0.0197754,0.0187685,7.4898167,1.1385455,6.3512712,1.0,7.0,7.0,2.0,33.31051200006186,188,188.0,1.0,,,
101,60487.0,60520.0,582.6903076,582.7134399,582.6923218,0.0020142,0.0211182,0.0139704,5.2405896,0.2434248,4.9971647,1.0,7.0,7.0,2.0,33.31051200006186,189,189.0,1.0,,,
102,61886.0,61946.0,583.6534424,583.6942749,583.6582031,0.0047607,0.0360718,0.0214104,20.1274948,2.7001963,17.4272976,1.0,7.0,7.0,2.0,58.79879999994955,191,191.0,1.0,,,
103,62191.0,62237.0,583.861145,583.8925171,583.8686523,0.0075073,0.0238647,0.0149845,5.2135859,0.6330045,4.5805812,1.0,7.0,7.0,2.0,45.1758239999981,192,192.0,1.0,,,
104,63469.0,63491.0,584.7425537,584.7575073,584.7445679,0.0020142,0.0129395,0.0129158,2.8059433,0.2961304,2.5098128,1.0,7.0,7.0,1.0,21.533184000018082,193,193.0,1.0,,,
105,65888.0,65934.0,586.4024658,586.4344482,586.4065552,0.0040894,0.0278931,0.0457945,14.680747,1.1201712,13.5605755,1.0,7.0,7.0,2.0,46.05465600008756,196,196.0,1.0,,,
106,66007.0,66036.0,586.4841919,586.5046387,586.4876099,0.003418,0.0170288,0.0159995,4.9359865,1.1482954,3.7876911,1.0,7.0,7.0,1.0,29.443391999921005,197,197.0,1.0,,,
107,66900.0,66921.0,587.1026611,587.1176147,587.1067505,0.0040894,0.0108643,0.0057116,1.4628907,0.582499,0.8803917,1.0,7.0,7.0,1.0,21.533184000018082,199,199.0,1.0,,,
108,66982.0,67011.0,587.1598511,587.1809692,587.1619263,0.0020752,0.019043,0.0149698,3.9790967,0.8842304,3.0948663,1.0,7.0,7.0,1.0,30.410064000116108,201,201.0,1.0,,,
109,67653.0,67678.0,587.6359863,587.6530151,587.6400757,0.0040894,0.0129395,0.0110949,2.2718492,0.2883185,1.9835308,1.0,7.0,7.0,1.0,24.52147199990577,203,203.0,1.0,,,
110,68095.0,68139.0,587.9404297,587.9710693,587.9424438,0.0020142,0.0286255,0.0184051,11.8902874,1.1293238,10.7609634,1.0,7.0,7.0,2.0,44.121023999960016,204,204.0,1.0,,,
111,69062.0,69083.0,588.6052246,588.6201782,588.6065674,0.0013428,0.0136108,0.0057786,2.1761518,0.3391915,1.8369601,1.0,6.0,7.0,1.0,21.533184000018082,205,205.0,1.0,,,
112,69190.0,69212.0,588.6951294,588.710083,588.6971436,0.0020142,0.0129395,0.0055788,2.5060618,0.3875029,2.1185589,1.0,7.0,7.0,1.0,21.533184000018082,206,206.0,1.0,,,
113,70381.0,70405.0,589.5192871,589.5356445,589.5240479,0.0047607,0.0115967,0.0062206,2.4358435,0.6004089,1.8354347,1.0,7.0,7.0,1.0,23.554655999923853,207,207.0,1.0,,,
114,72510.0,72533.0,590.9966431,591.0122681,590.9993286,0.0026855,0.0129395,0.0171413,2.9602914,0.4423423,2.5179489,1.0,7.0,7.0,1.0,22.5,210,210.0,1.0,,,
115,72541.0,72567.0,591.0177612,591.0354614,591.0204468,0.0026855,0.0150146,0.0203778,4.3538008,1.5256748,2.8281257,1.0,7.0,7.0,1.0,25.488288000051398,211,211.0,1.0,,,
116,76061.0,76095.0,593.4452515,593.4691162,593.447998,0.0027466,0.0211182,0.01504,5.6957259,1.4978824,4.1978436,1.0,7.0,7.0,1.0,34.365167999985715,220,220.0,1.0,,,
117,76281.0,76304.0,593.5964966,593.612793,593.5985107,0.0020142,0.0142822,0.0164364,4.501987,0.5238488,3.9781384,1.0,7.0,7.0,1.0,23.466815999981918,221,221.0,1.0,,,
